cluster3345	16.74645792	0.016418096	16	-1.45232600001054
cluster3073	19.81769019	0.00809877	84	-3.81683900005373
cluster2108	2.455524968	0.001732904	74	-0.220167000050424
cluster2488	11.79287136	0.009698085	68	-2.69870200000332
cluster5000	115.318709425	0.064968287	96	-5.78634700002112
cluster4000	22.002136594	0.013182826	81	-2.74221000002035
cluster1539	6.800867535	0.004205855	63	-1.69100199998866
cluster3164	76.818682537	0.019999657	98	-10.3425109989221
cluster3343	15.30471456	0.00696936	69	-1.01491300025555
cluster4422	10.183511448	0.006899398	84	-2.23869600012404
cluster2831	20.28264249	0.011895978	75	0.061150999928941
cluster3305	15.59103438	0.022021235	66	0.41593299999704
cluster2197	6.763890798	0.005608533	39	-1.0854229999577
cluster2845	3.452469345	0.005901657	38	-1.35338200001343
cluster2625	17.179063224	0.010617468	74	-2.65317800016419
cluster2652	24.040963378	0.008910661	81	-3.80658500007485
cluster4530	32.239723039	0.008849773	86	-3.04128900015348
cluster4241	45.894196608	0.012580646	96	-6.67877199989744
cluster2988	12.093603456	0.011452276	59	-1.16433500000221
cluster1523	57.5804232	0.039986405	92	-6.22635399996761
cluster3233	9.942200334	0.005579237	75	-5.65357099995526
cluster2598	18.516099858	0.005846574	88	-2.09686300038811
cluster4432	12.639881298	0.011768977	77	0.09501300003285
cluster2932	68.518773492	0.039999284	88	0.831348000123398
cluster1634	25.653004677	0.012060651	86	-5.56531099983295
cluster1680	10.017030726	0.005737131	48	-1.89024100007191
cluster1132	53.77789608	0.02881988	92	-3.84136399992167
cluster3539	59.731445676	0.025267109	87	-7.49013600007311
cluster1386	56.946273942	0.016616946	92	-8.03171100013788
cluster2005	34.008853793	0.010209803	89	-4.47985299933134
cluster4164	22.487400783	0.017311317	57	0.54508099992654
cluster835	20.341923873	0.019540753	89	-6.59954299999117
cluster911	46.503279	0.01631694	95	-6.85448000000542
cluster2492	39.755451208	0.020890936	82	-1.56510500001241
cluster2899	58.243661809	0.028819229	97	-8.48520699999608
cluster2432	16.481513022	0.012429497	79	-1.63736699994843
cluster1916	16.428282565	0.014975645	84	-3.50282999999308
cluster3407	10.908810072	0.007451373	78	-0.337710000028892
cluster3168	34.111843029	0.025667301	96	-5.41161700001794
cluster4170	22.238172	0.0280785	79	-1.53110000002471
cluster1633	16.22100576	0.011754352	89	-6.64823599994816
cluster2829	41.608321848	0.023995572	85	-2.75679000014316
cluster619	10.506252042	0.011444719	83	-1.69061399998282
cluster3691	24.695872041	0.005935081	59	1.03803300022264
cluster2184	46.685890206	0.023123274	96	-4.4608989998942
cluster4224	14.702480509	0.006067883	52	-1.30039099997703
cluster1031	12.233016139	0.008384521	84	-3.0627680000398
cluster3234	29.1776576	0.0086632	89	-2.81365300032485
cluster4401	27.7786341	0.02449615	87	-3.92377599997872
cluster1911	16.029378684	0.008995162	75	-4.30084500002158
cluster3209	30.39788853	0.01045679	91	-7.48300599974391
cluster1143	16.025844272	0.005392276	81	0.512825000001612
cluster3038	50.41658076	0.025082876	95	-7.88328600019486
cluster3947	56.98926822	0.032752453	98	-9.35437500000626
cluster4586	15.152454639	0.009731827	60	-1.53885400004037
cluster5535	16.029074325	0.013127825	79	-2.29538600005344
cluster2305	10.930362036	0.004039306	14	-0.939669000235881
cluster4339	34.256032716	0.025262561	93	-3.23749199998201
