cluster1015rr.1to1ortho.fa.aln-cln_gene1102.fa.treefile.rr,8,"['0.009370909', '42.1', 'Neam', 'NepSFB', 'DrolusSFB', 'MJM2940']",concordant,"['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']","['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']",65.1,0.006765944
cluster1019rr.1to1ortho.fa.aln-cln_gene241.fa.treefile.rr,8,"['0.009370909', '42.1', 'Neam', 'NepSFB', 'DrolusSFB', 'MJM2940']",concordant,"['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']","['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']",52.2,0.006114994
cluster1031rr.1to1ortho.fa.aln-cln_gene113.fa.treefile.rr,8,"['0.009370909', '42.1', 'Neam', 'NepSFB', 'DrolusSFB', 'MJM2940']",concordant,"['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']","['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']",83.4,0.008819441
cluster1054rr.1to1ortho.fa.aln-cln_gene696.fa.treefile.rr,8,"['0.009370909', '42.1', 'Neam', 'NepSFB', 'DrolusSFB', 'MJM2940']",concordant,"['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']","['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']",60.9,0.006832054
cluster1059rr.1to1ortho.fa.aln-cln_gene611.fa.treefile.rr,8,"['0.009370909', '42.1', 'Neam', 'NepSFB', 'DrolusSFB', 'MJM2940']",concordant,"['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']","['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']",42.4,0.014096416
cluster1093rr.1to1ortho.fa.aln-cln_gene543.fa.treefile.rr,8,"['0.009370909', '42.1', 'Neam', 'NepSFB', 'DrolusSFB', 'MJM2940']",concordant,"['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']","['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']",76.7,0.005159065
cluster1095rr.1to1ortho.fa.aln-cln_gene689.fa.treefile.rr,8,"['0.009370909', '42.1', 'Neam', 'NepSFB', 'DrolusSFB', 'MJM2940']",concordant,"['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']","['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']",56.8,0.016789052
cluster1097rr.1to1ortho.fa.aln-cln_gene1047.fa.treefile.rr,8,"['0.009370909', '42.1', 'Neam', 'NepSFB', 'DrolusSFB', 'MJM2940']",concordant,"['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']","['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']",41,0.009922839
cluster1102rr.1to1ortho.fa.aln-cln_gene703.fa.treefile.rr,8,"['0.009370909', '42.1', 'Neam', 'NepSFB', 'DrolusSFB', 'MJM2940']",concordant,"['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']","['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']",66.7,0.01118062
cluster1104rr.1to1ortho.fa.aln-cln_gene436.fa.treefile.rr,8,"['0.009370909', '42.1', 'Neam', 'NepSFB', 'DrolusSFB', 'MJM2940']",concordant,"['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']","['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']",85.8,0.011856105
cluster1108rr.1to1ortho.fa.aln-cln_gene353.fa.treefile.rr,8,"['0.009370909', '42.1', 'Neam', 'NepSFB', 'DrolusSFB', 'MJM2940']",concordant,"['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']","['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']",90,0.014510703
cluster1114rr.1to1ortho.fa.aln-cln_gene155.fa.treefile.rr,8,"['0.009370909', '42.1', 'Neam', 'NepSFB', 'DrolusSFB', 'MJM2940']",concordant,"['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']","['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']",81.7,0.022801891
cluster1128rr.1to1ortho.fa.aln-cln_gene887.fa.treefile.rr,8,"['0.009370909', '42.1', 'Neam', 'NepSFB', 'DrolusSFB', 'MJM2940']",concordant,"['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']","['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']",56.6,0.011179805
cluster1132rr.1to1ortho.fa.aln-cln_gene60.fa.treefile.rr,8,"['0.009370909', '42.1', 'Neam', 'NepSFB', 'DrolusSFB', 'MJM2940']",concordant,"['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']","['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']",89.5,0.024630326
cluster1159rr.1to1ortho.fa.aln-cln_gene524.fa.treefile.rr,8,"['0.009370909', '42.1', 'Neam', 'NepSFB', 'DrolusSFB', 'MJM2940']",concordant,"['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']","['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']",52.7,0.018913121
cluster1197rr.1to1ortho.fa.aln-cln_gene615.fa.treefile.rr,8,"['0.009370909', '42.1', 'Neam', 'NepSFB', 'DrolusSFB', 'MJM2940']",concordant,"['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']","['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']",90,0.013508788
cluster1200rr.1to1ortho.fa.aln-cln_gene493.fa.treefile.rr,8,"['0.009370909', '42.1', 'Neam', 'NepSFB', 'DrolusSFB', 'MJM2940']",concordant,"['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']","['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']",93,0.015809594
cluster1224rr.1to1ortho.fa.aln-cln_gene247.fa.treefile.rr,8,"['0.009370909', '42.1', 'Neam', 'NepSFB', 'DrolusSFB', 'MJM2940']",concordant,"['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']","['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']",33.5,0.009156931
cluster1250rr.1to1ortho.fa.aln-cln_gene219.fa.treefile.rr,8,"['0.009370909', '42.1', 'Neam', 'NepSFB', 'DrolusSFB', 'MJM2940']",concordant,"['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']","['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']",46.8,0.007550878
cluster1267rr.1to1ortho.fa.aln-cln_gene161.fa.treefile.rr,8,"['0.009370909', '42.1', 'Neam', 'NepSFB', 'DrolusSFB', 'MJM2940']",concordant,"['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']","['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']",56.1,0.005991173
cluster1277rr.1to1ortho.fa.aln-cln_gene1178.fa.treefile.rr,8,"['0.009370909', '42.1', 'Neam', 'NepSFB', 'DrolusSFB', 'MJM2940']",concordant,"['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']","['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']",95.4,0.02297592
cluster1281rr.1to1ortho.fa.aln-cln_gene179.fa.treefile.rr,8,"['0.009370909', '42.1', 'Neam', 'NepSFB', 'DrolusSFB', 'MJM2940']",concordant,"['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']","['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']",13.4,0.009036667
cluster1293rr.1to1ortho.fa.aln-cln_gene327.fa.treefile.rr,8,"['0.009370909', '42.1', 'Neam', 'NepSFB', 'DrolusSFB', 'MJM2940']",concordant,"['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']","['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']",27.6,0.015119807
cluster1311rr.1to1ortho.fa.aln-cln_gene797.fa.treefile.rr,8,"['0.009370909', '42.1', 'Neam', 'NepSFB', 'DrolusSFB', 'MJM2940']",concordant,"['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']","['NepSFB', 'Neam', 'MJM2940', 'DrolusSFB']",17.4,0.008081175
